"NUM","NAME","PRO","DATE","PLACE","COU","COD","LON","LAT",1955
1663,"Orlans Richard","FOO","1931-10-06 21:00:00+00:00","GAND","BE","OVL","3.75","51.08333",
1664,"Paverick Robert","FOO","1912-11-29 12:00:00+00:00","BORGERHOUT","BE","ANT","4.5","51.23333",
1665,"Gauquelin-A1-1665","FOO","1931-01-18 09:00:00+00:00","HERVE","BE","LIE","5.5","50.65",
1666,"Plaskie Jean","FOO","1941-08-24 21:00:00+00:00","LAEKEN","BE","BRA","4.25","50.85",
1667,"Puis Wilfried","FOO","1943-02-18 15:00:00+00:00","OOSTENDE","BE","WVL","3.25","51.21667",
1668,"Raskin Guillaume","FOO","1937-03-16 17:30:00+00:00","TONGRES","BE","LIM","5.5","50.78333",
1669,"Saeys Louis","FOO","1887-11-26 00:47:00+00:00","BRUGES","BE","WVL","3.25","51.21667",
1670,"Smellinckx Philibert","FOO","1911-01-17 14:30:00+00:00","ST-GILLIS / BRUX","BE","BRA","4.25","50.85",
1671,"Stockman Jacques","FOO","1938-10-08 07:30:00+00:00","RENAIX (RONSE)","BE","OVL","3.75","51.08333",
1672,"Stynen Emile","FOO","1907-11-02 03:00:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1673,"Swartenbroeks Armand","FOO","1892-06-30 14:00:00+00:00","LAEKEN","BE","BRA","4.25","50.85",
1674,"Thys Guy","FOO","1922-12-06 01:00:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1675,"Thys Ivan","FOO","1897-04-29 12:00:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1676,"Van Brandt Alfons","FOO","1927-06-24 07:00:00+00:00","KESSEL / LIER","BE","ANT","4.5","51.23333",
1677,"Van Den Berg Paul","FOO","1936-10-11 12:30:00+00:00","ST-GILLIS","BE","BRA","4.25","50.85",
1678,"Gauquelin-A1-1678","FOO","1924-01-09 23:00:00+00:00","MECHELEN","BE","ANT","4.5","51.23333",
1679,"Van Gestel Raymond","FOO","1930-01-20 14:00:00+00:00","ARENDONCK","BE","ANT","4.5","51.23333",
1680,"Van Halme Florimond","FOO","1895-03-21 16:00:00+00:00","BRUGES","BE","WVL","3.25","51.21667",
1681,"Van Himst Paul","FOO","1943-10-08 05:00:00+00:00","LEEUW ST-PIERRE","BE","BRA","4.25","50.85",
1682,"Veen Robert","FOO","1886-03-25 05:47:00+00:00","BRUGES","BE","WVL","3.25","51.21667",
1683,"Verbeek Oscar","FOO","1891-06-06 05:43:00+00:00","ST-JOSSE-TEN-NO","BE","BRA","4.25","50.85",
1684,"Verbiest Laurent","FOO","1939-04-16 14:00:00+00:00","OSTENDE","BE","WVL","3.25","51.21667",
1685,"Versijp Louis","FOO","1908-12-05 01:00:00+00:00","ST-ANDRIES","BE","WVL","3.25","51.21667",
1686,"Voorhof Bernard","FOO","1910-05-11 04:30:00+00:00","LIER","BE","ANT","4.5","51.23333",
1687,"Winter Alphonse","FOO","1908-09-12 23:15:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1688,"De Harder Bertus","FOO","1920-01-14 02:10:28+00:00","DEN HAAG","NL","ZH","4.46667","52.08333",
1689,"Rijvers Cornelis","FOO","1926-05-27 02:40:28+00:00","PRINSENBEEK","NL","NB","5.31667","51.7",
1690,"Van Rhijn Petrus","FOO","1931-03-22 17:25:28+00:00","WASSENAAR","NL","ZH","4.46667","52.08333",
1691,"Bagneux-Faudoas Francois","GOL","1903-01-16 15:50:40+00:00","PARIGNE","FR",35,"-1.66667","48.11667","570SPO"
1692,"Boulart Philippe","GOL","1918-08-29 19:00:00+00:00","BORDEAUX","FR",33,"-0.56667","44.83333","570SPO"
1693,"Bourin Jean","GOL","1903-12-21 01:50:40+00:00","TOURS","FR",37,"0.7","47.4","570SPO"
1694,"Dallemagne Marcel","GOL","1898-12-11 04:50:40+00:00","PORT-MARLY","FR",78,"2.13333","48.83333","570SPO"
1695,"Lamaze Henri","GOL","1918-08-02 04:00:00+00:00","TRELISSAC","FR",24,"0.73333","45.18333","570SPO"
1696,"Le Quellec Yan","GOL","1902-05-03 00:50:40+00:00","CAUDERAN","FR",33,"-0.56667","44.83333","570SPO"
1697,"Massy Arnaud","GOL","1877-07-06 12:01:28+00:00","BIARRITZ","FR",64,"-0.36667","43.3","570SPO"
1698,"Mourguiart Henri","GOL","1905-07-12 06:50:40+00:00","ANGLET","FR",64,"-0.36667","43.3","570SPO"
1699,"Anger Alphonse","GYM","1915-08-20 08:45:00-01:00","PFASTATT","FR",68,"7.35","48.08333",
1700,"Dot Raymond","GYM","1926-12-20 08:00:00+00:00","PUTEAUX","FR",92,"2.18333","48.83333","570SPO"
1701,"Gounot Jean","GYM","1894-05-09 17:20:40+00:00","NEVERS","FR",58,"3.15","46.98333","570SPO"
1702,"Krauss Alfred","GYM","1908-02-02 15:00:00-01:00","OSTHEIM","FR",68,"7.35","48.08333","570SPO"
1703,"Lalu Marcel","GYM","1882-03-24 17:58:40+00:00","LIMOGES","FR",86,"0.33333","46.58333","570SPO"
1704,"Rousseau Maurice","GYM","1906-09-28 19:50:40+00:00","LA MACHINE","FR",58,"3.15","46.98333","570SPO"
