profession,professionLabel
http://www.wikidata.org/entity/Q1252103,Q1252103
http://www.wikidata.org/entity/Q1253683,Q1253683
http://www.wikidata.org/entity/Q1254456,Q1254456
http://www.wikidata.org/entity/Q1255433,Q1255433
http://www.wikidata.org/entity/Q1257002,Q1257002
http://www.wikidata.org/entity/Q1261050,Q1261050
http://www.wikidata.org/entity/Q12649736,Q12649736
http://www.wikidata.org/entity/Q12650666,Q12650666
http://www.wikidata.org/entity/Q12652393,Q12652393
http://www.wikidata.org/entity/Q12652480,Q12652480
http://www.wikidata.org/entity/Q12655470,Q12655470
http://www.wikidata.org/entity/Q12669537,Q12669537
http://www.wikidata.org/entity/Q12670417,Q12670417
http://www.wikidata.org/entity/Q12673567,Q12673567
http://www.wikidata.org/entity/Q12674515,Q12674515
http://www.wikidata.org/entity/Q12680911,Q12680911
http://www.wikidata.org/entity/Q1270277,Q1270277
http://www.wikidata.org/entity/Q12715451,Q12715451
http://www.wikidata.org/entity/Q12717630,Q12717630
http://www.wikidata.org/entity/Q1272725,Q1272725
http://www.wikidata.org/entity/Q1273882,Q1273882
http://www.wikidata.org/entity/Q1274376,Q1274376
http://www.wikidata.org/entity/Q1276262,Q1276262
http://www.wikidata.org/entity/Q12765408,Q12765408
http://www.wikidata.org/entity/Q12769894,Q12769894
http://www.wikidata.org/entity/Q12772227,Q12772227
http://www.wikidata.org/entity/Q12773412,Q12773412
http://www.wikidata.org/entity/Q12774499,Q12774499
http://www.wikidata.org/entity/Q12774657,Q12774657
http://www.wikidata.org/entity/Q12776433,Q12776433
http://www.wikidata.org/entity/Q12788301,Q12788301
http://www.wikidata.org/entity/Q12794002,Q12794002
http://www.wikidata.org/entity/Q1279568,Q1279568
http://www.wikidata.org/entity/Q1281521,Q1281521
http://www.wikidata.org/entity/Q1283334,Q1283334
http://www.wikidata.org/entity/Q1283392,Q1283392
http://www.wikidata.org/entity/Q1287480,Q1287480
http://www.wikidata.org/entity/Q1288894,Q1288894
http://www.wikidata.org/entity/Q1299988,Q1299988
http://www.wikidata.org/entity/Q1300157,Q1300157
http://www.wikidata.org/entity/Q1302930,Q1302930
http://www.wikidata.org/entity/Q1307591,Q1307591
http://www.wikidata.org/entity/Q1308157,Q1308157
http://www.wikidata.org/entity/Q1308550,Q1308550
http://www.wikidata.org/entity/Q1308574,Q1308574
http://www.wikidata.org/entity/Q1308937,Q1308937
