Satz#;NAME;VORNAME;GEBDAT;;;GEBZEIT;;AMPM;ZEITZONE;GEBORT;LO1;LO2;LA1;LA2;SPORTART;MARS;BATCH
264;Norlander;John;5;3;1921;10;0;P;6;MN;92;32;47;31;BASK;21;3
265;Nova;Lou;16;3;1915;6;0;A;8;CA;118;15;34;3;BOXI;2;2
266;Olsen;Merlin Jay;15;9;1940;1;30;A;7;UT;111;50;41;44;FOOT;30;1
267;Orr;James;4;10;1935;2;0;A;5;SC;82;57;34;41;FOOT;24;2
268;Otis;James;29;4;1948;11;5;A;5;OH;84;34;40;33;FOOT;33;2
269;Otto;James Edwin;5;1;1938;8;26;P;6;WI;89;38;44;58;FOOT;17;1
270;Owen;Nancy;2;5;1943;5;18;P;5;OH;81;42;41;30;VOLL;21;1
271;O'Brien;Jonny;11;12;1930;3;43;P;5;NJ;74;17;40;29;BASK;27;3
272;Page;Alan Cedric;7;8;1945;8;23;P;5;OH;81;23;40;48;FOOT;26;1
273;Palazzi;Togo;8;8;1932;6;23;A;5;NJ;74;16;40;42;BASK;5;3
274;Parr;Jack;13;3;1936;10;49;A;6;KY;85;46;38;15;BASK;6;3
275;Patterson;Floyd;4;1;1935;2;30;P;5;NC;81;27;35;22;BOXI;22;1
276;Patton;Melvin;16;11;1924;1;7;P;8;CA;118;15;34;3;TRAC;36;2
277;Pellington;William;25;9;1927;11;40;P;5;NJ;74;9;41;4;FOOT;27;2
278;Peoples;Woodrow;16;8;1943;3;21;A;6;AL;86;48;33;31;FOOT;5;1
279;Peters;Richard/L;10;4;1920;7;50;A;6;KS;95;28;39;21;FOOT;20;2
280;Petty;Richard/L;2;7;1937;8;45;A;5;NC;79;48;35;49;HORS;28;1
281;Phillips;James;5;2;1936;3;45;A;6;AL;85;58;32;56;FOOT;30;1
282;Plum;Milton;20;1;1935;4;30;A;5;NJ;75;7;39;52;FOOT;8;2
283;Pollard;James;9;7;1922;10;50;P;8;CA;122;16;37;48;BASK;12;1
284;Prefontaine;Steve;25;1;1951;8;5;A;8;OR;124;13;43;22;TRAC;35;2
285;Ramsey;Frank;13;7;1931;6;10;A;6;KY;87;42;37;44;BASK;31;3
286;Ratterman;George;12;11;1926;10;15;P;6;OH;84;31;39;6;FOOT;9;2
287;Redman;Rick;7;3;1943;2;46;P;8;OR;122;37;45;32;FOOT;18;2
288;Regner;Thomas;19;4;1944;12;19;P;6;WI;87;49;42;35;FOOT;3;2
289;Reinhard;Robert;17;10;1920;8;0;A;8;CA;118;15;34;3;FOOT;32;2
290;Retzlaff;Palmer;21;8;1931;2;0;A;6;ND;98;32;46;0;FOOT;25;3
291;Richey;Joe;30;3;1931;11;0;P;7;AZ;109;33;31;21;BASK;13;3
292;Rigby;Cathy;12;12;1952;6;45;P;8;CA;118;11;33;46;GYMN;15;1
293;Rinka;John;4;10;1948;9;8;A;6;WI;87;54;43;5;BASK;36;3
